VehicleName,Date,Amount,Price,Mileage,FuelType
D-Tracker 125,2019/7/1,5.54,148,6512,ハイオク
D-Tracker 126,2019/6/9,5.17,153,6327,ハイオク
D-Tracker 127,2019/5/23,5.14,145,6144,レギュラー
D-Tracker 128,2019/5/7,5.26,145,5951,レギュラー
D-Tracker 129,2019/5/3,3.55,144,5710,レギュラー
D-Tracker 130,2019/4/30,4.67,149,5533,レギュラー
D-Tracker 131,2019/4/25,5.53,140,5332,レギュラー
D-Tracker 132,2019/3/27,5.36,147,5162,レギュラー
D-Tracker 133,2019/3/20,5.66,143,4916,レギュラー
D-Tracker 134,2019/3/15,5.1,147,4662,レギュラー
D-Tracker 135,2019/3/12,4.31,135,4406,レギュラー
D-Tracker 136,2019/3/1,5.54,123,4201,レギュラー
D-Tracker 137,2019/2/24,3.55,135,3957,レギュラー
D-Tracker 138,2019/2/21,5.28,140,3781,レギュラー
D-Tracker 139,2019/2/11,5.31,138,3550,レギュラー
